School Code,School Code Adjusted,School Name,Great Schools Rating,Great Schools URL,
275212,275212,Farmer Elementary,7,https://www.greatschools.org/kentucky/louisville/4081-Farmer-Elementary-School/,https://www.greatschools.org/kentucky/louisville/4081-Farmer-Elementary-School/
275049,275049,Farnsley Middle,3,https://www.greatschools.org/kentucky/louisville/847-Farnsley-Middle-School/,https://www.greatschools.org/kentucky/louisville/847-Farnsley-Middle-School/
275011,275011,Fern Creek Elementary,4,https://www.greatschools.org/kentucky/louisville/705-Fern-Creek-Elementary-School/,https://www.greatschools.org/kentucky/louisville/705-Fern-Creek-Elementary-School/
275012,275012,Fern Creek High,3,https://www.greatschools.org/kentucky/louisville/706-Fern-Creek-Traditional-High-School/,https://www.greatschools.org/kentucky/louisville/706-Fern-Creek-Traditional-High-School/
275250,275250,Field Elementary,7,https://www.greatschools.org/kentucky/louisville/798-Field-Elementary-School/,https://www.greatschools.org/kentucky/louisville/798-Field-Elementary-School/
275270,275270,Foster Traditional Academy,7,https://www.greatschools.org/kentucky/louisville/802-Foster-Traditional-Academy/,https://www.greatschools.org/kentucky/louisville/802-Foster-Traditional-Academy/
275290,275290,Frayser Elementary,2,https://www.greatschools.org/kentucky/louisville/804-Frayser-Elementary-School/,https://www.greatschools.org/kentucky/louisville/804-Frayser-Elementary-School/
275620,275620,Frederick Law Olmsted Academy North,,,
275730,275730,Frederick Law Olmsted Academy South,,,
275061,275061,Goldsmith Elementary,3,https://www.greatschools.org/kentucky/louisville/728-Goldsmith-Elementary-School/,https://www.greatschools.org/kentucky/louisville/728-Goldsmith-Elementary-School/
275800,275800,Grace M. James Academy of Excellence,4,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/
275800,2758002,Grace M. James Academy of Excellence,4,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/
275800,2758001,Grace M. James Academy of Excellence,4,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/,https://www.greatschools.org/kentucky/louisville/5443-Grace-M.-James-Academy-Of-Excellence/
275013,275013,Greathouse/Shryock Traditional,9,https://www.greatschools.org/kentucky/louisville/707-Greathouse-Shryock-Traditional/,https://www.greatschools.org/kentucky/louisville/707-Greathouse-Shryock-Traditional/
275014,275014,Greenwood Elementary,2,https://www.greatschools.org/kentucky/louisville/708-Greenwood-Elementary-School/,https://www.greatschools.org/kentucky/louisville/708-Greenwood-Elementary-School/
275115,275115,Gutermuth Elementary,5,https://www.greatschools.org/kentucky/louisville/765-Gutermuth-Elementary-School/,https://www.greatschools.org/kentucky/louisville/765-Gutermuth-Elementary-School/
275121,275121,Hartstern Elementary,3,https://www.greatschools.org/kentucky/louisville/769-Hartstern-Elementary-School/,https://www.greatschools.org/kentucky/louisville/769-Hartstern-Elementary-School/
275048,275048,Hawthorne Elementary,7,https://www.greatschools.org/kentucky/louisville/721-Hawthorne-Elementary-School/,https://www.greatschools.org/kentucky/louisville/721-Hawthorne-Elementary-School/
275300,275300,Hazelwood Elementary,4,https://www.greatschools.org/kentucky/louisville/805-Hazelwood-Elementary-School/,https://www.greatschools.org/kentucky/louisville/805-Hazelwood-Elementary-School/
275320,275320,Highland Middle,3,https://www.greatschools.org/kentucky/louisville/806-Highland--Middle-School/,https://www.greatschools.org/kentucky/louisville/806-Highland--Middle-School/
